
g = 7
   1.  a-seq=[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1]  a-number=1  type-seq=[2, 3, 4, 4, 5, 5, 6, 6, 6, 7, 7, 7, 8, 8, 8, 9, 9, 10, 10, 11, 12]  sum=147  Isog=[6, 5, 4, 3, 2, 1]
   2.  a-seq=[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1]  a-number=2  type-seq=[1, 2, 3, 4, 4, 5, 5, 6, 6, 6, 7, 7, 8, 8, 8, 9, 9, 10, 10, 11, 12]  sum=141  Isog=[5, 5, 4, 3, 2, 1, 1]
   3.  a-seq=[0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1]  a-number=2  type-seq=[1, 2, 2, 3, 4, 4, 5, 5, 6, 6, 7, 7, 8, 8, 9, 9, 10, 10, 11, 12, 13]  sum=142  Isog=[5, 4, 4, 3, 2, 2, 1]
   4.  a-seq=[0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1]  a-number=2  type-seq=[1, 2, 2, 3, 3, 4, 4, 5, 6, 6, 7, 7, 8, 8, 9, 10, 10, 11, 12, 12, 13]  sum=143  Isog=[5, 4, 3, 3, 3, 2, 1]
   5.  a-seq=[0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1]  a-number=2  type-seq=[1, 2, 2, 3, 3, 4, 4, 5, 6, 6, 7, 7, 8, 8, 9, 10, 11, 11, 12, 12, 13]  sum=144  Isog=[5, 4, 3, 3, 3, 2, 1]
   6.  a-seq=[0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1]  a-number=2  type-seq=[1, 2, 2, 3, 4, 4, 5, 5, 6, 6, 7, 7, 8, 8, 9, 10, 10, 11, 12, 12, 13]  sum=145  Isog=[5, 4, 4, 3, 2, 2, 1]
   7.  a-seq=[0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1]  a-number=2  type-seq=[1, 2, 3, 4, 4, 5, 5, 6, 6, 6, 7, 7, 8, 8, 9, 9, 10, 10, 11, 12, 13]  sum=146  Isog=[5, 5, 4, 3, 2, 1, 1]
   8.  a-seq=[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1]  a-number=2  type-seq=[1, 2, 2, 3, 4, 4, 5, 5, 6, 6, 7, 7, 8, 8, 9, 9, 10, 10, 11, 12, 13]  sum=142  Isog=[5, 4, 4, 3, 2, 2, 1]
   9.  a-seq=[0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1]  a-number=3  type-seq=[1, 1, 1, 2, 3, 4, 4, 5, 5, 6, 6, 7, 7, 8, 8, 9, 9, 10, 10, 11, 12]  sum=129  Isog=[4, 4, 3, 3, 2, 2, 1, 1, 1]
  10.  a-seq=[0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1]  a-number=3  type-seq=[1, 1, 1, 2, 2, 3, 4, 4, 5, 6, 6, 7, 7, 8, 8, 9, 10, 10, 11, 12, 13]  sum=130  Isog=[4, 4, 3, 3, 2, 2, 1, 1, 1]
  11.  a-seq=[0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1]  a-number=3  type-seq=[1, 1, 1, 2, 2, 3, 3, 4, 5, 6, 6, 7, 7, 8, 8, 9, 10, 11, 12, 12, 13]  sum=131  Isog=[4, 4, 3, 3, 2, 2, 1, 1, 1]
  12.  a-seq=[0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1]  a-number=3  type-seq=[1, 1, 1, 2, 2, 3, 4, 4, 5, 6, 6, 7, 7, 8, 8, 9, 10, 11, 12, 12, 13]  sum=132  Isog=[4, 4, 4, 3, 2, 1, 1, 1, 1]
  13.  a-seq=[0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1]  a-number=3  type-seq=[1, 1, 1, 2, 3, 4, 4, 5, 5, 6, 6, 7, 7, 8, 8, 9, 10, 10, 11, 12, 13]  sum=133  Isog=[5, 4, 4, 3, 2, 1, 1, 1]
  14.  a-seq=[0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1]  a-number=2  type-seq=[1, 2, 2, 2, 2, 3, 3, 4, 4, 5, 5, 6, 7, 8, 8, 9, 9, 10, 10, 11, 12]  sum=123  Isog=[4, 3, 3, 3, 2, 2, 2, 1, 1]
  15.  a-seq=[0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1]  a-number=3  type-seq=[1, 1, 1, 2, 2, 3, 3, 4, 4, 4, 5, 6, 7, 8, 8, 9, 10, 10, 11, 12, 13]  sum=124  Isog=[4, 3, 3, 3, 2, 2, 2, 1, 1]
